VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterDiscountedTradeCost,EL54,ALBANIA,GROil,2030,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GROil,2035,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GROil,2040,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GROil,2045,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GROil,2050,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Demand,2023,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Demand,2025,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Demand,2030,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Demand,2035,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Demand,2040,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Demand,2045,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Demand,2050,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Storage,2023,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Storage,2025,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Storage,2030,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Storage,2035,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Storage,2040,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Storage,2045,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Storage,2050,0.0
InterDiscountedTradeCost,EL54,ITALY,Elec_Transmission,2023,-142.0122171717019
InterDiscountedTradeCost,EL54,ITALY,Elec_Transmission,2025,-258.53352040591017
InterDiscountedTradeCost,EL54,ITALY,Elec_Transmission,2030,-180.0209157421508
InterDiscountedTradeCost,EL54,ITALY,Elec_Transmission,2035,-128.59185773443917
InterDiscountedTradeCost,EL54,ITALY,Elec_Transmission,2040,-93.26055564292629
InterDiscountedTradeCost,EL54,ITALY,Elec_Transmission,2045,-64.61612542301376
InterDiscountedTradeCost,EL54,ITALY,Elec_Transmission,2050,-56.079662363771156
InterDiscountedTradeCost,EL54,ITALY,GRBiomass,2023,0.0
InterDiscountedTradeCost,EL54,ITALY,GRBiomass,2025,0.0
InterDiscountedTradeCost,EL54,ITALY,GRBiomass,2030,0.0
InterDiscountedTradeCost,EL54,ITALY,GRBiomass,2035,0.0
InterDiscountedTradeCost,EL54,ITALY,GRBiomass,2040,0.0
InterDiscountedTradeCost,EL54,ITALY,GRBiomass,2045,0.0
InterDiscountedTradeCost,EL54,ITALY,GRBiomass,2050,0.0
InterDiscountedTradeCost,EL54,ITALY,GRGas,2023,0.0
InterDiscountedTradeCost,EL54,ITALY,GRGas,2025,0.0
InterDiscountedTradeCost,EL54,ITALY,GRGas,2030,0.0
InterDiscountedTradeCost,EL54,ITALY,GRGas,2035,0.0
InterDiscountedTradeCost,EL54,ITALY,GRGas,2040,0.0
InterDiscountedTradeCost,EL54,ITALY,GRGas,2045,0.0
InterDiscountedTradeCost,EL54,ITALY,GRGas,2050,0.0
InterDiscountedTradeCost,EL54,ITALY,GRLignite,2023,0.0
InterDiscountedTradeCost,EL54,ITALY,GRLignite,2025,0.0
InterDiscountedTradeCost,EL54,ITALY,GRLignite,2030,0.0
InterDiscountedTradeCost,EL54,ITALY,GRLignite,2035,0.0
InterDiscountedTradeCost,EL54,ITALY,GRLignite,2040,0.0
InterDiscountedTradeCost,EL54,ITALY,GRLignite,2045,0.0
InterDiscountedTradeCost,EL54,ITALY,GRLignite,2050,0.0
InterDiscountedTradeCost,EL54,ITALY,GROil,2023,0.0
InterDiscountedTradeCost,EL54,ITALY,GROil,2025,0.0
InterDiscountedTradeCost,EL54,ITALY,GROil,2030,0.0
InterDiscountedTradeCost,EL54,ITALY,GROil,2035,0.0
InterDiscountedTradeCost,EL54,ITALY,GROil,2040,0.0
InterDiscountedTradeCost,EL54,ITALY,GROil,2045,0.0
InterDiscountedTradeCost,EL54,ITALY,GROil,2050,0.0
