REGION,FUEL,TIMESLICE,YEAR,VALUE
Greece,Elec_Demand,m4_d2_t21,2023,0
Greece,Elec_Demand,m4_d2_t22,2023,0
Greece,Elec_Demand,m4_d2_t23,2023,0
Greece,Elec_Demand,m4_d2_t24,2023,0
Greece,Elec_Demand,m4_d3_t1,2023,8.41E-05
Greece,Elec_Demand,m4_d3_t2,2023,8.36E-05
Greece,Elec_Demand,m4_d3_t3,2023,8.55E-05
Greece,Elec_Demand,m4_d3_t4,2023,9.21E-05
Greece,Elec_Demand,m4_d3_t5,2023,0.000101362
Greece,Elec_Demand,m4_d3_t6,2023,0.000110408
Greece,Elec_Demand,m4_d3_t7,2023,0.000118995
Greece,Elec_Demand,m4_d3_t8,2023,0.000122644
Greece,Elec_Demand,m4_d3_t9,2023,0.000124326
Greece,Elec_Demand,m4_d3_t10,2023,0.000124741
Greece,Elec_Demand,m4_d3_t11,2023,0.000123998
Greece,Elec_Demand,m4_d3_t12,2023,0.000119148
Greece,Elec_Demand,m4_d3_t13,2023,0.000116853
Greece,Elec_Demand,m4_d3_t14,2023,0.000112156
Greece,Elec_Demand,m4_d3_t15,2023,0.000107589
Greece,Elec_Demand,m4_d3_t16,2023,0.00010855
Greece,Elec_Demand,m4_d3_t17,2023,0.000111456
Greece,Elec_Demand,m4_d3_t18,2023,0.00012177
Greece,Elec_Demand,m4_d3_t19,2023,0.000121617
Greece,Elec_Demand,m4_d3_t20,2023,0.000109403
Greece,Elec_Demand,m4_d3_t21,2023,9.94E-05
Greece,Elec_Demand,m4_d3_t22,2023,8.99E-05
Greece,Elec_Demand,m4_d3_t23,2023,8.39E-05
Greece,Elec_Demand,m4_d3_t24,2023,8.17E-05
Greece,Elec_Demand,m4_d4_t1,2023,0.000966204
Greece,Elec_Demand,m4_d4_t2,2023,0.000964369
Greece,Elec_Demand,m4_d4_t3,2023,0.000994521
Greece,Elec_Demand,m4_d4_t4,2023,0.001051156
Greece,Elec_Demand,m4_d4_t5,2023,0.001163902
Greece,Elec_Demand,m4_d4_t6,2023,0.001302343
Greece,Elec_Demand,m4_d4_t7,2023,0.001388607
Greece,Elec_Demand,m4_d4_t8,2023,0.001428985
Greece,Elec_Demand,m4_d4_t9,2023,0.001443406
Greece,Elec_Demand,m4_d4_t10,2023,0.001459138
Greece,Elec_Demand,m4_d4_t11,2023,0.001467004
Greece,Elec_Demand,m4_d4_t12,2023,0.001417973
Greece,Elec_Demand,m4_d4_t13,2023,0.00138546
Greece,Elec_Demand,m4_d4_t14,2023,0.001350326
Greece,Elec_Demand,m4_d4_t15,2023,0.001315978
Greece,Elec_Demand,m4_d4_t16,2023,0.001340887
Greece,Elec_Demand,m4_d4_t17,2023,0.001396473
Greece,Elec_Demand,m4_d4_t18,2023,0.001510529
Greece,Elec_Demand,m4_d4_t19,2023,0.00150345
Greece,Elec_Demand,m4_d4_t20,2023,0.001364222
Greece,Elec_Demand,m4_d4_t21,2023,0.001242562
Greece,Elec_Demand,m4_d4_t22,2023,0.001128505
Greece,Elec_Demand,m4_d4_t23,2023,0.001046961
Greece,Elec_Demand,m4_d4_t24,2023,0.001007894
Greece,Elec_Demand,m4_d5_t1,2023,0.001260654
Greece,Elec_Demand,m4_d5_t2,2023,0.001238629
Greece,Elec_Demand,m4_d5_t3,2023,0.00124632
Greece,Elec_Demand,m4_d5_t4,2023,0.001304004
