REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
EL53,CCGT,1,2035,0.69
EL53,CCGT,1,2040,0.69
EL53,CCGT,1,2045,0.69
EL53,CCGT,1,2050,0.69
EL54,CCGT,1,2023,0.69
EL54,CCGT,1,2025,0.69
EL54,CCGT,1,2030,0.69
EL54,CCGT,1,2035,0.69
EL54,CCGT,1,2040,0.69
EL54,CCGT,1,2045,0.69
EL54,CCGT,1,2050,0.69
EL61,CCGT,1,2023,0.69
EL61,CCGT,1,2025,0.69
EL61,CCGT,1,2030,0.69
EL61,CCGT,1,2035,0.69
EL61,CCGT,1,2040,0.69
EL61,CCGT,1,2045,0.69
EL61,CCGT,1,2050,0.69
EL62,CCGT,1,2023,0.69
EL62,CCGT,1,2025,0.69
EL62,CCGT,1,2030,0.69
EL62,CCGT,1,2035,0.69
EL62,CCGT,1,2040,0.69
EL62,CCGT,1,2045,0.69
EL62,CCGT,1,2050,0.69
EL63,CCGT,1,2023,0.69
EL63,CCGT,1,2025,0.69
EL63,CCGT,1,2030,0.69
EL63,CCGT,1,2035,0.69
EL63,CCGT,1,2040,0.69
EL63,CCGT,1,2045,0.69
EL63,CCGT,1,2050,0.69
EL64,CCGT,1,2023,0.69
EL64,CCGT,1,2025,0.69
EL64,CCGT,1,2030,0.69
EL64,CCGT,1,2035,0.69
EL64,CCGT,1,2040,0.69
EL64,CCGT,1,2045,0.69
EL64,CCGT,1,2050,0.69
EL30,CCGT,1,2023,0.69
EL30,CCGT,1,2025,0.69
EL30,CCGT,1,2030,0.69
EL30,CCGT,1,2035,0.69
EL30,CCGT,1,2040,0.69
EL30,CCGT,1,2045,0.69
EL30,CCGT,1,2050,0.69
EL65,CCGT,1,2023,0.69
EL65,CCGT,1,2025,0.69
EL65,CCGT,1,2030,0.69
EL65,CCGT,1,2035,0.69
EL65,CCGT,1,2040,0.69
EL65,CCGT,1,2045,0.69
EL65,CCGT,1,2050,0.69
CHIOS,Chios,1,2023,1.66
CHIOS,Chios,1,2025,1.66
CHIOS,Chios,1,2030,1.66
CHIOS,Chios,1,2035,1.66
CHIOS,Chios,1,2040,1.66
CHIOS,Chios,1,2045,1.66
CHIOS,Chios,1,2050,1.66
EL51,CoalExtraction,1,2023,2.77
EL51,CoalExtraction,1,2025,2.959739358
EL51,CoalExtraction,1,2030,1.555910414
EL51,CoalExtraction,1,2035,1.364833696
EL51,CoalExtraction,1,2040,1.173756979
EL51,CoalExtraction,1,2045,1.119163631
EL51,CoalExtraction,1,2050,1.064570283
EL52,CoalExtraction,1,2023,2.77
EL52,CoalExtraction,1,2025,2.959739358
EL52,CoalExtraction,1,2030,1.555910414
EL52,CoalExtraction,1,2035,1.364833696
EL52,CoalExtraction,1,2040,1.173756979
EL52,CoalExtraction,1,2045,1.119163631
EL52,CoalExtraction,1,2050,1.064570283
EL53,CoalExtraction,1,2023,2.77
EL53,CoalExtraction,1,2025,2.959739358
EL53,CoalExtraction,1,2030,1.555910414
EL53,CoalExtraction,1,2035,1.364833696
EL53,CoalExtraction,1,2040,1.173756979
EL53,CoalExtraction,1,2045,1.119163631
EL53,CoalExtraction,1,2050,1.064570283
